,Feat_set,TP,TN,FP,FN,roc
0,raw,0.846789,0,0.153211,0,0.5
1,numerics,30911,0,5505,0,0.60029223250876
2,state_costs,30911,0,5505,0,0.7012116046335557
3,simple_text5,26440,710,4795,4471,0.7424326945879598
4,500tfidf,26890,673,4832,4021,0.7448075981546811
5,1000tfidf,26440,710,4795,4471,0.7479415712381897
