,Feat_set,TP,TN,FP,FN,roc
0,raw,0.846789,0,0.153211,0,0.5
1,numerics,38576,0,6944,0,0.5918361400596249
2,state_costs,38547,48,6896,29,0.6932204521728129
3,simple_text5,38455,189,6755,121,0.7208760174421383
4,500tfidf,38458,199,6745,118,0.7252531233753419
5,1000tfidf,38443,192,6752,133,0.7277421615622139
