,Feat_set,TP,TN,FP,FN,roc
0,raw,0.846789,0,0.153211,0,0.5
1,numerics,38576,0,6944,0,0.5904329760140734
2,state_costs,38503,30,6914,73,0.659870620769916
3,simple_text5,38515,28,6916,61,0.6730346893175863
4,500tfidf,38512,39,6905,64,0.6805076686251761
